,player_id,known_as,nationality
658,,Badr Benoun,Morocco
659,,Achraf Dari,Morocco
660,235412.0,Jawad El Yamiq,Morocco
661,235412.0,Jawad El Yamiq,Morocco
662,398073.0,Achraf Hakimi,Morocco
663,340456.0,Noussair Mazraoui,Morocco
664,204198.0,Romain Saiss,Morocco
665,287579.0,Sofyan Amrabat,Morocco
666,377219.0,Selim Amallah,Morocco
667,,Bilal El Khannous,Morocco
668,,Yahya Jabrane,Morocco
669,593482.0,Azzedine Ounahi,Morocco
670,,Abdelhamid Sabiri,Morocco
671,393238.0,Zakaria Aboukhlal,Morocco
672,232271.0,Sofiane Boufal,Morocco
673,,Ilias Chair,Morocco
674,,Walid Cheddira,Morocco
675,,Youssef En Nesyri,Morocco
676,,Abde Ezzalzouli,Morocco
677,,Abderrazak Hamdallah,Morocco
678,372711.0,Amine Harit,Morocco
679,372711.0,Amine Harit,Morocco
680,217111.0,Hakim Ziyech,Morocco
681,,Dominik Livakovic,Croatia
682,160482.0,Ivica Ivusic,Croatia
683,226073.0,Ivo Grbic,Croatia
684,46083.0,Domagoj Vida,Croatia
685,37838.0,Dejan Lovren,Croatia
686,39125.0,Borna Barisic,Croatia
687,362977.0,Josip Juranovic,Croatia
688,362977.0,Josip Juranovic,Croatia
689,475959.0,Josko Gvardiol,Croatia
690,293194.0,Borna Sosa,Croatia
691,483046.0,Josip Stanisic,Croatia
692,357003.0,Martin Erlic,Croatia
693,,Josip Sutalo,Croatia
694,27992.0,Luka Modric,Croatia
695,51471.0,Mateo Kovacic,Croatia
696,156617.0,Marcelo Brozovic,Croatia
697,205938.0,Mario Pasalic,Croatia
698,293200.0,Nikola Vlasic,Croatia
699,387106.0,Lovro Majer,Croatia
700,374954.0,Kristijan Jakic,Croatia
701,,Luka Sucic,Croatia
702,42460.0,Ivan Perisic,Croatia
703,46580.0,Andrej Kramaric,Croatia
704,256358.0,Bruno Petkovic,Croatia
705,,Mislav Orsic,Croatia
706,46413.0,Ante Budimir,Croatia
707,95438.0,Marko Livaja,Croatia
708,105470.0,Alisson,Brazil
709,607854.0,Ederson,Brazil
710,238223.0,Ederson,Brazil
711,,Weverton,Brazil
712,,Dani Alves,Brazil
713,145707.0,Danilo,Brazil
714,145707.0,Danilo,Brazil
715,79960.0,Alex Sandro,Brazil
716,255755.0,Alex Telles,Brazil
717,516716.0,Bremer,Brazil
718,401530.0,Eder Militao,Brazil
