,date,home_team,away_team,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,country,neutral_location,shoot_out,home_team_result,year,stage,win_conditions,worldcup_id
3148,1998-07-08,France,Croatia,18.0,19.0,2.0,1.0,FIFA World Cup,France,False,No,Win,1998,Semi-finals, ,FIFAWorldCup1998
3152,1998-07-11,Netherlands,Croatia,25.0,19.0,1.0,2.0,FIFA World Cup,France,True,No,Lose,1998,Match for third place, ,FIFAWorldCup1998
3153,1998-07-12,France,Brazil,18.0,1.0,3.0,0.0,FIFA World Cup,France,False,No,Win,1998,,,
6341,2002-05-31,France,Senegal,1.0,42.0,0.0,1.0,FIFA World Cup,Korea Republic,True,No,Lose,2002,Group A, ,FIFAWorldCup2002
6342,2002-06-01,Germany,Saudi Arabia,11.0,34.0,8.0,0.0,FIFA World Cup,Japan,True,No,Win,2002,Group E, ,FIFAWorldCup2002
6343,2002-06-01,Republic of Ireland,Cameroon,15.0,17.0,1.0,1.0,FIFA World Cup,Japan,True,No,Draw,2002,,,
6344,2002-06-01,Uruguay,Denmark,24.0,20.0,1.0,2.0,FIFA World Cup,Korea Republic,True,No,Lose,2002,Group A, ,FIFAWorldCup2002
6345,2002-06-02,Argentina,Nigeria,3.0,27.0,1.0,0.0,FIFA World Cup,Japan,True,No,Win,2002,Group F, ,FIFAWorldCup2002
6346,2002-06-02,England,Sweden,12.0,19.0,1.0,1.0,FIFA World Cup,Japan,True,No,Draw,2002,Group F, ,FIFAWorldCup2002
6347,2002-06-02,Paraguay,South Africa,18.0,37.0,2.0,2.0,FIFA World Cup,Korea Republic,True,No,Draw,2002,Group B, ,FIFAWorldCup2002
6348,2002-06-02,Spain,Slovenia,8.0,25.0,3.0,1.0,FIFA World Cup,Korea Republic,True,No,Win,2002,Group B, ,FIFAWorldCup2002
6349,2002-06-03,Brazil,Turkey,2.0,22.0,2.0,1.0,FIFA World Cup,Korea Republic,True,No,Win,2002,,,
6350,2002-06-03,Croatia,Mexico,21.0,7.0,0.0,1.0,FIFA World Cup,Japan,True,No,Lose,2002,Group G, ,FIFAWorldCup2002
6351,2002-06-03,Italy,Ecuador,6.0,36.0,2.0,0.0,FIFA World Cup,Japan,True,No,Win,2002,Group G, ,FIFAWorldCup2002
6352,2002-06-04,China PR,Costa Rica,50.0,29.0,0.0,2.0,FIFA World Cup,Korea Republic,True,No,Lose,2002,,,
6353,2002-06-04,Japan,Belgium,32.0,23.0,2.0,2.0,FIFA World Cup,Japan,False,No,Draw,2002,,,
6354,2002-06-04,Korea Republic,Poland,40.0,38.0,2.0,0.0,FIFA World Cup,Korea Republic,False,No,Win,2002,Group D, ,FIFAWorldCup2002
6355,2002-06-05,Germany,Republic of Ireland,11.0,15.0,1.0,1.0,FIFA World Cup,Japan,True,No,Draw,2002,,,
6356,2002-06-05,Russia,Tunisia,28.0,31.0,2.0,0.0,FIFA World Cup,Japan,True,No,Win,2002,Group H, ,FIFAWorldCup2002
